"","k_cat_AA","k_a_NH4","k_NH4","k_a_AA","k_NH4_AA","k_ribo_a"
"95","1000.0","0.1","0.1","0.1","10.0","10.0"
"96","1000.0","0.1","0.1","0.1","10.0","1000.0"
"97","1000.0","0.1","0.1","0.1","1000.0","0.1"
"98","1000.0","0.1","0.1","0.1","1000.0","10.0"
"99","1000.0","0.1","0.1","0.1","1000.0","1000.0"
"100","1000.0","0.1","0.1","10.0","0.1","0.1"
"101","1000.0","0.1","0.1","10.0","0.1","10.0"
"102","1000.0","0.1","0.1","10.0","0.1","1000.0"
"103","1000.0","0.1","0.1","10.0","10.0","0.1"
"104","1000.0","0.1","0.1","10.0","10.0","10.0"
"105","1000.0","0.1","0.1","10.0","10.0","1000.0"
"106","1000.0","0.1","0.1","10.0","1000.0","0.1"
"107","1000.0","0.1","0.1","10.0","1000.0","10.0"
"108","1000.0","0.1","0.1","10.0","1000.0","1000.0"
"109","1000.0","0.1","0.1","1000.0","0.1","0.1"
"110","1000.0","0.1","0.1","1000.0","0.1","10.0"
"111","1000.0","0.1","0.1","1000.0","0.1","1000.0"
"112","1000.0","0.1","0.1","1000.0","10.0","0.1"
"113","1000.0","0.1","0.1","1000.0","10.0","10.0"
"114","1000.0","0.1","0.1","1000.0","10.0","1000.0"
"115","1000.0","0.1","0.1","1000.0","1000.0","0.1"
"116","1000.0","0.1","0.1","1000.0","1000.0","10.0"
"117","1000.0","0.1","0.1","1000.0","1000.0","1000.0"
"118","1000.0","0.1","10.0","0.1","0.1","0.1"
"119","1000.0","0.1","10.0","0.1","0.1","10.0"
"120","1000.0","0.1","10.0","0.1","0.1","1000.0"
"121","1000.0","0.1","10.0","0.1","10.0","0.1"
"122","1000.0","0.1","10.0","0.1","10.0","10.0"
"123","1000.0","0.1","10.0","0.1","10.0","1000.0"
"124","1000.0","0.1","10.0","0.1","1000.0","0.1"
"125","1000.0","0.1","10.0","0.1","1000.0","10.0"
"126","1000.0","0.1","10.0","0.1","1000.0","1000.0"
"127","1000.0","0.1","10.0","10.0","0.1","0.1"
"128","1000.0","0.1","10.0","10.0","0.1","10.0"
"129","1000.0","0.1","10.0","10.0","0.1","1000.0"
"130","1000.0","0.1","10.0","10.0","10.0","0.1"
"131","1000.0","0.1","10.0","10.0","10.0","10.0"
"132","1000.0","0.1","10.0","10.0","10.0","1000.0"
"133","1000.0","0.1","10.0","10.0","1000.0","0.1"
"134","1000.0","0.1","10.0","10.0","1000.0","10.0"
"135","1000.0","0.1","10.0","10.0","1000.0","1000.0"
"136","1000.0","0.1","10.0","1000.0","0.1","0.1"
"137","1000.0","0.1","10.0","1000.0","0.1","10.0"
"138","1000.0","0.1","10.0","1000.0","0.1","1000.0"
"139","1000.0","0.1","10.0","1000.0","10.0","0.1"
"140","1000.0","0.1","10.0","1000.0","10.0","10.0"
"141","1000.0","0.1","10.0","1000.0","10.0","1000.0"
"142","1000.0","0.1","10.0","1000.0","1000.0","0.1"
"143","1000.0","0.1","10.0","1000.0","1000.0","10.0"
"144","1000.0","0.1","10.0","1000.0","1000.0","1000.0"
"145","1000.0","0.1","1000.0","0.1","0.1","0.1"
"146","1000.0","0.1","1000.0","0.1","0.1","10.0"
"147","1000.0","0.1","1000.0","0.1","0.1","1000.0"
"148","1000.0","0.1","1000.0","0.1","10.0","0.1"
"149","1000.0","0.1","1000.0","0.1","10.0","10.0"
"150","1000.0","0.1","1000.0","0.1","10.0","1000.0"
"151","1000.0","0.1","1000.0","0.1","1000.0","0.1"
"152","1000.0","0.1","1000.0","0.1","1000.0","10.0"
"153","1000.0","0.1","1000.0","0.1","1000.0","1000.0"
"154","1000.0","0.1","1000.0","10.0","0.1","0.1"
"155","1000.0","0.1","1000.0","10.0","0.1","10.0"
"156","1000.0","0.1","1000.0","10.0","0.1","1000.0"
"157","1000.0","0.1","1000.0","10.0","10.0","0.1"
"158","1000.0","0.1","1000.0","10.0","10.0","10.0"
"159","1000.0","0.1","1000.0","10.0","10.0","1000.0"
"160","1000.0","0.1","1000.0","10.0","1000.0","0.1"
"161","1000.0","0.1","1000.0","10.0","1000.0","10.0"
"162","1000.0","0.1","1000.0","10.0","1000.0","1000.0"
"163","1000.0","0.1","1000.0","1000.0","0.1","0.1"
"164","1000.0","0.1","1000.0","1000.0","0.1","10.0"
"165","1000.0","0.1","1000.0","1000.0","0.1","1000.0"
"166","1000.0","0.1","1000.0","1000.0","10.0","0.1"
"167","1000.0","0.1","1000.0","1000.0","10.0","10.0"
"168","1000.0","0.1","1000.0","1000.0","10.0","1000.0"
"169","1000.0","0.1","1000.0","1000.0","1000.0","0.1"
"170","1000.0","0.1","1000.0","1000.0","1000.0","10.0"
"171","1000.0","0.1","1000.0","1000.0","1000.0","1000.0"
"172","1000.0","10.0","10.0","0.1","1000.0","0.1"
"173","1000.0","10.0","10.0","0.1","1000.0","10.0"
"174","1000.0","10.0","10.0","0.1","1000.0","1000.0"
"175","1000.0","10.0","10.0","10.0","1000.0","0.1"
"176","1000.0","10.0","10.0","10.0","1000.0","10.0"
"177","1000.0","10.0","10.0","10.0","1000.0","1000.0"
"178","1000.0","10.0","10.0","1000.0","1000.0","0.1"
"179","1000.0","10.0","10.0","1000.0","1000.0","10.0"
"180","1000.0","10.0","10.0","1000.0","1000.0","1000.0"
"181","1000.0","10.0","1000.0","0.1","10.0","0.1"
"182","1000.0","10.0","1000.0","0.1","10.0","10.0"
"183","1000.0","10.0","1000.0","0.1","10.0","1000.0"
"184","1000.0","10.0","1000.0","0.1","1000.0","0.1"
"185","1000.0","10.0","1000.0","0.1","1000.0","10.0"
"186","1000.0","10.0","1000.0","0.1","1000.0","1000.0"
"187","1000.0","10.0","1000.0","10.0","10.0","0.1"
"188","1000.0","10.0","1000.0","10.0","10.0","10.0"
"189","1000.0","10.0","1000.0","10.0","10.0","1000.0"
"190","1000.0","10.0","1000.0","10.0","1000.0","0.1"
"191","1000.0","10.0","1000.0","10.0","1000.0","10.0"
"192","1000.0","10.0","1000.0","10.0","1000.0","1000.0"
"193","1000.0","10.0","1000.0","1000.0","10.0","0.1"
"194","1000.0","10.0","1000.0","1000.0","10.0","10.0"
"195","1000.0","10.0","1000.0","1000.0","10.0","1000.0"
"196","1000.0","10.0","1000.0","1000.0","1000.0","0.1"
"197","1000.0","10.0","1000.0","1000.0","1000.0","10.0"
"198","1000.0","10.0","1000.0","1000.0","1000.0","1000.0"
"199","1000.0","1000.0","1000.0","10.0","1000.0","0.1"
"200","1000.0","1000.0","1000.0","10.0","1000.0","10.0"
"201","1000.0","1000.0","1000.0","10.0","1000.0","1000.0"
"202","1000.0","1000.0","1000.0","1000.0","1000.0","0.1"
"203","1000.0","1000.0","1000.0","1000.0","1000.0","10.0"
"204","1000.0","1000.0","1000.0","1000.0","1000.0","1000.0"
